engine_size,mileage,doors,owner_count,horsepower,car_age,brand_ford,brand_honda,brand_hyundai,brand_tesla,fuel_type_electric,fuel_type_hybrid,fuel_type_petrol,transmission_manual,mileage_per_year,hp_per_engine,age_x_mileage,multi_owner,is_new_car,price
1,180635,4,3,82,2,1,0,0,0,0,1,0,1,90317.5,82.0,361270,1,1,34309
3,35628,2,4,259,7,0,0,1,0,1,0,0,1,5089.71,86.33,249396,1,0,55153
2,74672,3,2,333,17,0,0,0,0,0,0,0,1,4392.47,166.5,1269424,0,0,41894
2,51246,4,4,381,8,0,0,1,0,0,0,1,0,6405.75,190.5,409968,1,0,54046
2,147233,3,4,290,13,0,0,1,0,1,0,0,1,11325.62,145.0,1914029,1,0,38010
3,94110,2,4,173,2,0,1,0,0,0,0,1,0,47055.0,57.67,188220,1,1,54182
2,7810,2,3,267,9,0,0,0,0,0,0,1,1,867.78,133.5,70290,1,0,52140
3,195932,4,1,369,3,0,0,0,0,0,0,1,0,65310.67,123.0,587796,0,1,61707
2,76688,3,1,238,15,0,0,0,0,1,0,0,1,5112.53,119.0,1150320,0,0,44992
1,70548,4,4,218,3,0,0,1,0,1,0,0,1,23516.0,218.0,211644,1,1,40924
4,198435,2,3,318,2,1,0,0,0,0,0,1,0,99217.5,79.5,396870,1,1,56053
2,16162,3,2,325,16,0,0,0,0,0,0,0,0,1010.12,162.5,258592,0,0,49052
2,92858,4,4,111,12,0,0,0,1,0,0,1,0,7738.17,55.5,1114296,1,0,34220
3,78535,4,2,271,18,0,0,1,0,0,0,0,1,4363.06,90.33,1413630,0,0,46273
2,143291,4,2,313,11,0,1,0,0,0,0,1,0,13026.45,156.5,1576201,0,0,46711
1,75864,2,3,226,2,1,0,0,0,0,1,0,0,37932.0,226.0,151728,1,1,46896
2,139693,4,3,355,18,0,0,0,1,0,0,1,0,7760.72,177.5,2514474,1,0,40811
4,123371,3,1,351,6,0,0,0,1,0,0,1,0,20561.83,87.75,740226,0,0,67784
3,94792,4,1,307,20,0,1,0,0,1,0,0,0,4739.6,102.33,1895840,0,0,44801
3,180505,2,3,88,14,1,0,0,0,0,0,0,0,12893.21,29.33,2527070,1,0,32714
3,71188,4,4,122,9,0,0,1,0,0,1,0,0,7909.78,40.67,640692,1,0,47823
1,191023,2,1,154,4,0,0,0,0,0,0,0,0,47755.75,154.0,764092,0,0,37807
2,86718,2,2,342,16,1,0,0,0,0,1,0,0,5419.88,171.0,1387488,0,0,50356
4,41558,3,4,282,17,0,1,0,0,0,0,1,1,2444.59,70.5,706486,1,0,48754
1,133938,3,2,173,9,0,0,0,1,1,0,0,1,14882.0,173.0,1205442,0,0,36202
2,151731,4,3,261,3,0,0,1,0,1,0,0,0,50577.0,130.5,455193,1,1,43698
2,39413,2,2,246,4,1,0,0,0,0,0,0,1,9853.25,123.0,157652,0,0,54538
2,15435,2,4,216,2,0,0,0,0,1,0,0,1,7717.5,108.0,30870,1,1,55129
4,189983,3,3,150,12,0,0,0,0,0,0,0,0,15831.92,37.5,2279796,1,0,47514
1,33067,3,4,262,17,0,0,0,0,0,0,0,0,1945.12,262.0,562139,1,0,35287
3,92794,4,2,106,19,0,0,0,0,0,1,0,0,4883.89,35.33,1763086,0,0,33525
1,98823,2,4,395,17,0,1,0,0,0,0,0,0,5813.12,395.0,1679991,1,0,42929
4,74224,3,3,223,19,1,0,0,0,0,1,0,0,3906.53,55.75,1410256,1,0,47126
1,6379,4,2,199,6,1,0,0,0,1,0,0,0,1063.17,199.0,38274,0,0,44889
2,107547,2,2,128,19,0,0,0,1,0,0,0,1,5660.37,64.0,2043393,0,0,35642
4,113541,2,1,293,17,0,0,0,1,0,0,0,0,6678.88,73.25,1930197,0,0,49493
3,163696,3,1,318,15,0,0,0,1,0,0,1,1,10913.07,106.0,2455440,0,0,47743
2,119634,4,4,309,14,0,0,0,0,0,0,0,0,8545.29,154.5,1674876,1,0,44302
2,133701,3,1,362,11,1,0,0,0,0,0,0,0,12154.64,181.0,1470711,0,0,46695
2,62745,4,1,356,2,1,0,0,0,0,0,1,1,31372.5,178.0,125490,0,1,63718
2,187877,2,1,273,2,0,0,0,0,0,0,1,0,93938.5,136.5,375754,0,1,45931
1,108915,4,1,168,9,0,0,0,0,1,0,0,0,12101.67,168.0,980235,0,0,39792
2,148588,4,3,245,18,0,0,1,0,0,0,0,1,8254.89,122.5,2674584,1,0,39293
2,134560,4,3,331,8,0,0,0,0,1,0,0,0,16820.0,165.5,1076480,1,0,46809
2,160915,4,1,340,3,0,0,1,0,1,0,0,1,53638.33,170.0,482745,0,1,50932
3,141984,4,4,212,13,0,0,0,0,0,0,1,0,10921.85,70.67,1845792,1,0,42371
4,157586,3,3,258,6,0,1,0,0,0,1,0,0,26264.33,64.5,945516,1,0,56327
3,193104,4,1,341,20,1,0,0,0,1,0,0,1,9655.2,113.67,3862080,0,0,43533
1,164869,4,3,89,18,0,0,0,0,0,1,0,0,9159.39,89.0,2967642,1,0,18911
1,142521,2,2,369,13,1,0,0,0,0,0,0,1,10963.15,369.0,1852773,0,0,43158
4,137797,4,3,115,17,0,0,0,1,0,0,1,1,8105.71,28.75,2342549,1,0,42674
2,86406,2,3,164,5,0,1,0,0,0,0,0,1,17281.2,82.0,432030,1,0,44544
1,14304,3,4,133,11,0,1,0,0,0,0,0,0,1300.36,133.0,157344,1,0,39019
3,130555,3,3,200,9,0,0,0,0,0,0,1,0,14506.11,66.67,1174995,1,0,49124
3,149735,4,4,78,7,0,1,0,0,0,0,0,1,21390.71,26.0,1048145,1,0,42775
3,75320,3,2,272,7,0,0,1,0,0,0,1,0,10760.0,90.67,527240,0,0,55378
2,99488,4,1,367,19,0,1,0,0,0,1,0,0,5236.21,183.5,1890272,0,0,44945
1,80591,3,4,243,16,1,0,0,0,0,0,0,0,5036.94,243.0,1289456,1,0,33585
4,100044,4,3,142,16,1,0,0,0,0,0,1,1,6252.75,35.5,1600704,1,0,45173
2,148748,4,3,153,15,1,0,0,0,1,0,0,0,9916.53,76.5,2231220,1,0,31674
3,30192,2,4,128,8,1,0,0,0,0,0,0,1,3774.0,42.67,241536,1,0,46337
3,160794,2,2,90,12,0,0,1,0,0,1,0,0,13399.5,30.0,1929528,0,0,36860
3,143518,2,1,226,6,0,0,0,0,0,0,1,0,23919.67,75.33,861108,0,0,48386
2,124304,2,3,388,7,0,0,0,1,0,0,0,1,17757.71,194.0,870128,1,0,50867
2,140797,4,2,398,14,0,0,0,0,0,0,0,0,10056.93,199.0,1971158,0,0,46974
3,93207,3,1,130,19,1,0,0,0,0,0,0,1,4905.63,43.33,1770933,0,0,35864
4,193704,4,1,133,14,0,1,0,0,0,1,0,0,13836.0,33.25,2711856,0,0,41306
4,78741,2,3,394,15,1,0,0,0,0,0,1,1,5249.4,98.5,1181115,1,0,58606
1,21365,2,4,237,4,0,1,0,0,1,0,0,0,5341.25,237.0,85460,1,0,46261
1,70792,3,3,272,19,0,0,0,1,1,0,0,0,3725.89,272.0,1345048,1,0,36979
4,151776,2,3,198,18,0,0,0,1,1,0,0,0,8432.0,49.5,2731968,1,0,43145
3,55575,4,3,314,16,0,0,0,1,0,0,1,1,3473.44,104.67,889200,1,0,51605
4,165974,4,2,175,16,0,1,0,0,1,0,0,1,10373.38,43.75,2655584,0,0,45407
1,124641,4,4,390,20,1,0,0,0,0,1,0,1,6232.05,390.0,2492820,1,0,36545
3,137267,4,2,191,13,0,0,0,1,0,0,1,0,10559.0,63.67,1784471,0,0,41880
3,58517,4,3,387,9,0,0,1,0,0,0,0,1,6501.89,129.0,526653,1,0,60775
3,39012,3,4,251,17,0,1,0,0,0,1,0,1,2294.82,83.67,663204,1,0,46451
2,147487,4,1,172,8,0,1,0,0,0,0,0,1,18435.88,86.0,1179896,0,0,41520
1,175606,2,4,385,6,1,0,0,0,1,0,0,1,29267.67,385.0,1053636,1,0,41123
3,26686,2,3,371,10,0,1,0,0,0,1,0,1,2668.6,123.67,266860,1,0,59006
2,164815,2,4,330,11,0,1,0,0,0,0,1,1,14983.18,165.0,1812965,1,0,38815
2,37161,2,1,182,18,0,0,0,1,0,1,0,1,2064.5,91.0,668898,0,0,42436
4,197385,3,1,139,7,1,0,0,0,0,0,0,1,28197.86,34.75,1381695,0,0,48448
2,7402,2,4,229,5,0,0,0,1,0,0,1,1,1480.4,114.5,37010,1,0,49320
4,68190,3,1,309,11,0,0,0,1,0,1,0,1,6199.09,77.25,750090,0,0,60686
1,188623,2,2,80,11,1,0,0,0,0,1,0,0,17147.55,80.0,2074853,0,0,30002
3,18275,3,4,207,9,0,0,0,0,0,1,0,0,2030.56,69.0,164475,1,0,51880
4,164254,3,1,236,12,0,0,0,1,0,1,0,1,13687.83,59.0,1971048,0,0,50633
1,19915,3,1,316,20,0,0,1,0,0,0,1,0,995.75,316.0,398300,0,0,42980
1,5909,2,4,100,16,0,0,1,0,0,0,0,0,369.31,100.0,94544,1,0,31065
2,119110,3,2,81,13,0,1,0,0,0,1,0,1,9162.31,40.5,1548430,0,0,32736
1,70908,4,4,312,10,0,0,1,0,0,0,1,1,7090.8,312.0,709080,1,0,40745
4,132337,4,1,177,9,0,1,0,0,0,0,0,1,14704.11,44.25,1191033,0,0,48058
4,27620,2,4,392,20,0,0,0,0,0,1,0,0,1381.0,98.0,552400,1,0,58769
2,39112,4,1,263,10,1,0,0,0,0,0,0,1,3911.2,131.5,391120,0,0,52699
2,7431,4,3,377,16,1,0,0,0,0,0,0,0,464.44,188.5,118896,1,0,49037
2,91590,4,4,202,6,1,0,0,0,0,0,1,1,15265.0,101.0,549540,1,0,48477
3,67175,2,4,350,16,0,0,1,0,0,0,0,0,4198.44,116.67,1074800,1,0,55577
1,122472,2,1,360,9,0,0,0,0,0,0,1,0,13608.0,360.0,1102248,0,0,44627
3,37624,4,1,232,16,0,0,1,0,0,1,0,1,2351.5,77.33,601984,0,0,46647
3,66264,2,1,347,4,0,0,1,0,0,0,0,1,16566.0,115.67,265056,0,0,64835
3,118766,3,1,272,4,0,0,0,0,0,0,0,0,29691.5,90.67,475064,0,0,57016
2,168030,4,4,165,9,0,0,0,0,1,0,0,0,18670.0,82.5,1512270,1,0,32798
3,137767,2,1,292,6,0,0,0,0,0,1,0,1,22961.17,97.33,826602,0,0,56146
1,105211,2,4,306,6,0,0,0,0,0,1,0,1,17535.17,306.0,631266,1,0,42277
1,124502,4,2,186,15,1,0,0,0,1,0,0,0,8300.13,186.0,1867530,0,0,33986
4,186004,2,4,261,9,0,0,0,0,1,0,0,1,20667.11,65.25,1674036,1,0,52889
4,49225,4,1,345,3,0,0,0,0,0,0,1,0,16408.33,86.25,147675,0,1,66928
1,137475,2,1,175,7,0,0,0,0,0,0,1,1,19639.29,175.0,962325,0,0,38190
2,174708,3,2,73,19,0,0,0,0,0,0,0,1,9195.16,36.5,3319452,0,0,21956
1,15839,4,4,87,12,0,0,0,0,0,0,0,1,1319.92,87.0,190068,1,0,33230
2,183901,3,2,376,16,0,0,0,0,0,0,0,0,11493.81,188.0,2942416,0,0,40220
2,145302,4,4,89,20,0,0,0,0,0,0,0,1,7265.1,44.5,2906040,1,0,23596
1,56977,2,1,191,18,0,0,1,0,0,0,1,0,3165.39,191.0,1025586,0,0,33300
2,176304,3,4,206,15,0,1,0,0,0,1,0,1,11753.6,103.0,2644560,1,0,35924
