area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,area_log,price_log,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,price
7420,4,2,3,1,0,0,0,1,2,1,8.911934336161426,16.40327459319198,0,0,13300000
8960,4,4,4,1,0,0,0,1,3,0,9.100525505968976,16.32103649495501,0,0,12250000
9960,3,2,2,1,0,1,0,0,2,1,9.206332350578643,16.32103649495501,1,0,12250000
7500,4,2,2,1,0,1,0,1,3,1,8.922658299524402,16.31817526267398,0,0,12215000
7420,4,1,2,1,1,1,0,1,2,0,8.911934336161426,16.25000072183826,0,0,11410000
7500,3,3,1,1,0,1,0,1,2,1,8.922658299524402,16.199675637950744,1,0,10850000
8580,4,3,4,1,0,0,0,1,2,1,9.057189192482008,16.13298426345207,1,0,10150000
16200,5,3,2,1,0,0,0,0,0,0,9.692766521220475,16.13298426345207,0,1,10150000
8100,4,1,2,1,1,1,0,1,2,1,8.99961934066053,16.105010411409665,0,0,9870000
5750,3,2,4,1,1,0,0,1,1,1,8.656955133791396,16.0978929436408,0,1,9800000
13200,3,1,2,1,0,1,0,1,2,1,9.487972108574462,16.0978929436408,0,0,9800000
6000,4,3,2,1,1,1,1,0,2,0,8.699514748210191,16.08567575970221,1,0,9681000
6550,4,2,2,1,0,0,0,1,1,1,8.787220328629298,16.04659964925325,1,0,9310000
3500,4,2,2,1,0,0,1,0,2,0,8.160518247477505,16.039052443617866,0,0,9240000
7800,3,2,2,1,0,0,0,0,0,1,8.961879012677683,16.039052443617866,1,0,9240000
6000,4,1,2,1,0,1,0,0,2,0,8.699514748210191,16.02378497148708,1,0,9100000
6600,4,2,2,1,1,1,0,1,1,1,8.794824928014517,16.02378497148708,0,1,9100000
8500,3,2,4,1,0,0,0,1,2,0,9.047821442478408,16.008280784951115,0,0,8960000
4600,3,2,2,1,1,0,0,1,2,0,8.433811582477187,16.00043760749009,0,0,8890000
6420,3,2,2,1,0,0,0,1,1,1,8.767173396684006,15.99649282919907,1,0,8855000
4320,3,1,2,1,0,1,1,0,2,0,8.371010681238156,15.984564258333798,1,0,8750000
7155,3,2,1,1,1,1,0,1,2,0,8.875566691990551,15.976532086636533,0,1,8680000
8050,3,1,1,1,1,1,0,1,1,0,8.99342737041261,15.972491677099528,0,0,8645000
4560,3,2,2,1,1,1,0,1,1,0,8.425077902508432,15.972491677099528,0,0,8645000
8800,3,2,2,1,0,0,0,1,2,0,9.082507000466299,15.964361551016278,0,0,8575000
6540,4,2,2,1,1,1,0,1,2,1,8.785692444451245,15.960271565764753,0,0,8540000
6000,3,2,4,1,1,1,0,1,0,1,8.699514748210191,15.951214278652243,1,0,8463000
8875,3,1,1,1,0,0,0,0,1,0,9.090993614343617,15.943742263813542,1,0,8400000
7950,5,2,2,1,0,1,1,0,2,0,8.980927207648378,15.943742263813542,0,1,8400000
5500,4,2,2,1,0,1,0,1,1,1,8.612503371220562,15.943742263813542,1,0,8400000
7475,3,2,4,1,0,0,0,1,2,0,8.919319398258887,15.943742263813542,0,1,8400000
7000,3,1,4,1,0,0,0,1,2,0,8.85366542803745,15.943742263813542,1,0,8400000
4880,4,2,2,1,0,0,0,1,1,1,8.492900498847193,15.931163481606681,0,0,8295000
5960,3,3,2,1,1,1,0,0,1,0,8.692825760059396,15.918424455829252,0,1,8190000
6840,5,1,2,1,1,1,0,1,1,0,8.830543010616596,15.90984071213786,0,0,8120000
7000,3,2,4,1,0,0,0,1,2,0,8.85366542803745,15.90501876036436,0,0,8080940
7482,3,2,3,1,0,0,1,0,1,1,8.920255414908091,15.900312705886206,0,0,8043000
9000,4,2,4,1,0,0,0,1,2,0,9.104979856318357,15.892448969425992,0,0,7980000
6000,3,1,4,1,1,0,0,1,2,0,8.699514748210191,15.890253578862556,0,1,7962500
6000,4,2,4,1,0,0,0,1,1,0,8.699514748210191,15.883638339743836,1,0,7910000
6550,3,1,2,1,0,1,0,1,0,1,8.787220328629298,15.879203742675971,0,0,7875000
6360,3,2,4,1,0,0,0,1,0,1,8.757783656334167,15.87474939232659,0,0,7840000
6480,3,2,4,1,0,0,0,1,2,0,8.776475789346321,15.856730886823913,0,1,7700000
6000,4,2,4,1,0,0,0,0,2,0,8.699514748210191,15.856730886823913,1,0,7700000
6000,4,2,4,1,0,0,0,1,1,0,8.699514748210191,15.838381748155715,0,0,7560000
